,region,variable,datasource,Anchovy,Sardine,log.diff,percent.diff,zeroes,newvar
1,Benguela,Fishing mortality,Barange,0.74,1.46,-0.679541529,-65.45454545,0,Fishing mortality
2,Benguela,Fishing mortality,RAM,0.28,0.26,0.074107972,7.407407407,0,Fishing mortality
8,California,Fishing mortality,Barange,0.35,0.48,-0.315852949,-31.3253012,0,Fishing mortality
14,Humboldt,Fishing mortality,Barange,1.72,2.37,-0.320565664,-31.78484108,0,Fishing mortality
19,Kuroshio-Oyashio,Fishing mortality,Barange,2.07,1.04,0.688327894,66.23794212,0,Fishing mortality
24,NE Atlantic,Fishing mortality,Barange,1.27,0.43,1.082986971,98.82352941,0,Fishing mortality
3,Benguela,Landings,Barange,596000,409337,0.375701889,37.13441363,0,Landings
4,Benguela,Landings,FAO,1938958,5980917,-1.126423185,-102.0712827,0,Landings
9,California,Landings,Barange,312971,323833,-0.034117416,-3.411410732,0,Landings
10,California,Landings,FAO,1192630,806103,0.391704706,38.67720201,0,Landings
15,Humboldt,Landings,Barange,10877541,3764476,1.06109153,97.15963313,0,Landings
16,Humboldt,Landings,FAO,13889344,26037204,-0.628404511,-60.85104077,0,Landings
20,Kuroshio-Oyashio,Landings,Barange,427548,2931458,-1.925188626,-149.0863666,0,Landings
21,Kuroshio-Oyashio,Landings,FAO,1943790,16317849,-2.127619864,-157.4235368,0,Landings
25,NE Atlantic,Landings,Barange,83617,249398,-1.092803165,-99.56368332,0,Landings
26,NE Atlantic,Landings,FAO,259800,542558,-0.736382888,-70.48175503,0,Landings
5,Benguela,Recruitment,Barange,6.26E+11,70490000,9.091861606,199.9549738,0,Recruitment
6,Benguela,Recruitment,RAM,8.06E+11,40624808000,2.987704828,180.8062284,0,Recruitment
11,California,Recruitment,Barange,4324607,14000929000,-8.082557694,-199.8764861,0,Recruitment
17,Humboldt,Recruitment,Barange,1.67E+12,82487625000,3.009121531,181.1938041,0,Recruitment
22,Kuroshio-Oyashio,Recruitment,Barange,159311000,2.93E+11,-7.517069621,-199.7826288,0,Recruitment
27,NE Atlantic,Recruitment,Barange,24843786325,19836000,7.132864484,199.6808832,0,Recruitment
7,Benguela,Spawning stock biomass,Barange,7856394,4144448,0.639558115,61.86142606,0,Spawning stock biomass
12,California,Spawning stock biomass,Barange,1064439,1367135,-0.250269409,-24.89712425,0,Spawning stock biomass
13,California,Spawning stock biomass,RAM,1359200.63,1462200,-0.073045396,-7.301293471,0,Spawning stock biomass
18,Humboldt,Spawning stock biomass,Barange,15838541,4793876,1.195107004,107.0612813,0,Spawning stock biomass
23,Kuroshio-Oyashio,Spawning stock biomass,Barange,966964,13352327,-2.62528469,-172.988495,0,Spawning stock biomass
28,NE Atlantic,Spawning stock biomass,Barange,93014,649362,-1.943240323,-149.8830781,0,Spawning stock biomass
