region,datasource,sp,stock,max.var,variable,
Benguela,Barange,Anchovy,Southern Benguela anchovy,7856394,ssb,
Benguela,Barange,Anchovy,Southern Benguela anchovy,6.26E+11,rec,
Benguela,Barange,Anchovy,Southern Benguela anchovy,596000,landings,
Benguela,Barange,Anchovy,Southern Benguela anchovy,0.74,fishing.mortality,
Benguela,Barange,Sardine,Southern Benguela sardine,4144448,ssb,
Benguela,Barange,Sardine,Southern Benguela sardine,70490000,rec,
Benguela,Barange,Sardine,Southern Benguela sardine,409337,landings,
Benguela,Barange,Sardine,Southern Benguela sardine,1.46,fishing.mortality,
Benguela,FAO,Anchovy," Engraulidae - Atlantic, Southeast",0,landings,
Benguela,FAO,Anchovy,"Southern African anchovy - Atlantic, Southeast",1938958,landings,
Benguela,FAO,Sardine,"Round sardinella - Atlantic, Southeast",5272,landings,
Benguela,FAO,Sardine,"Sardinella spp - Atlantic, Southeast",1427945,landings,
Benguela,FAO,Sardine,"Southern African pilchard - Atlantic, Southeast",4547700,landings,
Benguela,RAM,Anchovy,Anchovy South Africa,4916887.06,ssb,
Benguela,RAM,Anchovy,Anchovy South Africa,8.06E+11,rec,
Benguela,RAM,Anchovy,Anchovy South Africa,0.28,fishing.mortality,
Benguela,RAM,Sardine,Sardine South Africa,40624808000,rec,
Benguela,RAM,Sardine,Sardine South Africa,0.26,fishing.mortality,
California,Barange,Anchovy,California anchovy,1064439,ssb,
California,Barange,Anchovy,California anchovy,4324607,rec,
California,Barange,Anchovy,California anchovy,312971,landings,
California,Barange,Anchovy,California anchovy,0.35,fishing.mortality,
California,Barange,Sardine,California sardine,1367135,ssb,
California,Barange,Sardine,California sardine,14000929000,rec,
California,Barange,Sardine,California sardine,323833,landings,
California,Barange,Sardine,California sardine,0.48,fishing.mortality,
California,FAO,Anchovy,"California anchovy - Pacific, Eastern Central",848794,landings,1192630
California,FAO,Anchovy,"California anchovy - Pacific, Northeast",849,landings,
California,FAO,Anchovy,"Pacific anchoveta - Pacific, Eastern Central",342987,landings,
California,FAO,Sardine,"California pilchard - Pacific, Eastern Central",729223,landings,
California,FAO,Sardine,"California pilchard - Pacific, Northeast",76880,landings,
California,RAM,Anchovy,N Anchovy E Pacific,1359200.63,ssb,
California,RAM,Sardine,Pacific sardine Pacific Coast,1462200,ssb,
California,RAM,Sardine,Pacific sardine Pacific Coast,2.46E+10,rec,
Humboldt,Barange,Anchovy,Humboldt anchovy - Central Peru,15838541,ssb,
Humboldt,Barange,Anchovy,Humboldt anchovy - Central Peru,1.67E+12,rec,
Humboldt,Barange,Anchovy,Humboldt anchovy - Central Peru,10877541,landings,
Humboldt,Barange,Anchovy,Humboldt anchovy - Central Peru,1.72,fishing.mortality,
Humboldt,Barange,Sardine,Humboldt sardine - N Central Peru,4793876,ssb,
Humboldt,Barange,Sardine,Humboldt sardine - N Central Peru,82487625000,rec,
Humboldt,Barange,Sardine,Humboldt sardine - N Central Peru,3764476,landings,
Humboldt,Barange,Sardine,Humboldt sardine - N Central Peru,2.37,fishing.mortality,
Humboldt,FAO,Anchovy,"Longnose anchovy - Pacific, Southeast",706167,landings,
Humboldt,FAO,Anchovy,"Pacific anchoveta - Pacific, Southeast",123277,landings,
Humboldt,FAO,Anchovy,"Peruvian anchoveta - Pacific, Southeast",13059900,landings,
Humboldt,FAO,Sardine,"South American pilchard - Pacific, Southeast",26037204,landings,
Kuroshio-Oyashio,Barange,Anchovy,Japanese anchovy,966964,ssb,
Kuroshio-Oyashio,Barange,Anchovy,Japanese anchovy,159311000,rec,
Kuroshio-Oyashio,Barange,Anchovy,Japanese anchovy,427548,landings,
Kuroshio-Oyashio,Barange,Anchovy,Japanese anchovy,2.07,fishing.mortality,
Kuroshio-Oyashio,Barange,Sardine,Japanese sardine,13352327,ssb,
Kuroshio-Oyashio,Barange,Sardine,Japanese sardine,2.93E+11,rec,
Kuroshio-Oyashio,Barange,Sardine,Japanese sardine,2931458,landings,
Kuroshio-Oyashio,Barange,Sardine,Japanese sardine,1.04,fishing.mortality,
Kuroshio-Oyashio,FAO,Anchovy," Engraulidae - Pacific, Northwest",3240,landings,
Kuroshio-Oyashio,FAO,Anchovy,"Japanese anchovy - Pacific, Northwest",1937750,landings,
Kuroshio-Oyashio,FAO,Anchovy,"Stolephorus spp - Pacific, Northwest",2800,landings,
Kuroshio-Oyashio,FAO,Sardine,"Japanese pilchard - Pacific, Northwest",16286766,landings,
Kuroshio-Oyashio,FAO,Sardine,"Japanese sardinella - Pacific, Northwest",24383,landings,
Kuroshio-Oyashio,FAO,Sardine,"Sardinella spp - Pacific, Northwest",5100,landings,
Kuroshio-Oyashio,FAO,Sardine,"Slender raindbow sardine - Pacific, Northwest",1600,landings,
NE Atlantic,Barange,Anchovy,Bay of Biscay anchovy,93014,ssb,
NE Atlantic,Barange,Anchovy,Bay of Biscay anchovy,24843786325,rec,
NE Atlantic,Barange,Anchovy,Bay of Biscay anchovy,83617,landings,
NE Atlantic,Barange,Anchovy,Bay of Biscay anchovy,1.27,fishing.mortality,
NE Atlantic,Barange,Sardine,European sardine,649362,ssb,
NE Atlantic,Barange,Sardine,European sardine,19836000,rec,
NE Atlantic,Barange,Sardine,European sardine,249398,landings,
NE Atlantic,Barange,Sardine,European sardine,0.43,fishing.mortality,
NE Atlantic,FAO,Anchovy,"European anchovy - Atlantic, Northeast",259800,landings,
NE Atlantic,FAO,Sardine,"European pilchard - Atlantic, Northeast",540000,landings,
NE Atlantic,FAO,Sardine,"Sardinella spp - Atlantic, Northeast",2558,landings,
