sp,year.approx,sdr
anchovy,269.784,20.886
anchovy,283.09,20.121
anchovy,288.647,22.959
anchovy,302.254,15.084
anchovy,311.473,14.836
anchovy,321.519,12.019
anchovy,331.101,8.263
anchovy,341.071,5.599
anchovy,351.14,7.437
anchovy,359.399,14.315
anchovy,371.683,16.587
anchovy,382.55,18.154
anchovy,391.923,8.298
anchovy,400.437,8.922
anchovy,411.993,18.743
anchovy,422.457,5.317
anchovy,430.275,8.128
anchovy,441.668,13.731
anchovy,454.184,13.941
anchovy,460.26,14.208
anchovy,470.694,15.599
anchovy,481.197,18.404
anchovy,492.985,24.001
anchovy,502.002,26.403
anchovy,514.673,20.052
anchovy,522.033,19.184
anchovy,532.846,14.605
anchovy,541.43,12.057
anchovy,551.678,37.751
anchovy,561.91,20.838
anchovy,572.019,10.626
anchovy,583.42,6.384
anchovy,591.145,10.958
anchovy,600.224,14.308
anchovy,609.875,23.358
anchovy,622.631,20.849
anchovy,634.458,11.999
anchovy,643.127,14.063
anchovy,650.17,14.506
anchovy,659.04,16.607
anchovy,670.07,18.3
anchovy,682.369,15.321
anchovy,690.999,13.29
anchovy,700.659,7.242
anchovy,710.14,5.541
anchovy,720.295,14.555
anchovy,729.212,14.672
anchovy,741.55,8.217
anchovy,751.294,8.156
anchovy,758.965,16.516
anchovy,769.685,16.582
anchovy,781.496,14.038
anchovy,791.806,9.887
anchovy,801.349,4.694
anchovy,810.668,7.859
anchovy,822.542,9.015
anchovy,830.258,12.189
anchovy,839.941,19.152
anchovy,852.898,17.513
anchovy,862.155,10.868
anchovy,872.194,19.652
anchovy,880.128,12
anchovy,892.109,12.273
anchovy,901.428,18.456
anchovy,910.585,19.376
anchovy,923.085,14.084
anchovy,933.774,7.689
anchovy,943.612,6.486
anchovy,951.654,12.653
anchovy,965.485,7.879
anchovy,972.622,12.289
anchovy,982.01,21.793
anchovy,993.814,7.595
anchovy,1003.76,5.623
anchovy,1013.714,6.495
anchovy,1022.909,7.57
anchovy,1034.233,9.466
anchovy,1044.449,12.892
anchovy,1054.519,10.899
anchovy,1062.639,23.873
anchovy,1074.102,12.814
anchovy,1085.038,13.562
anchovy,1094.009,5.268
anchovy,1104.056,5.56
anchovy,1113.715,12.12
anchovy,1124.281,11.055
anchovy,1131.75,25.574
anchovy,1144.962,11.365
anchovy,1154.784,8.514
anchovy,1164.188,9.693
anchovy,1175.922,9.714
anchovy,1185.597,3.172
anchovy,1194.715,5.566
anchovy,1204.715,6.205
anchovy,1215.079,1.188
anchovy,1223.059,5.904
anchovy,1233.052,11.533
anchovy,1243.586,11.917
anchovy,1253.989,7.424
anchovy,1264.229,21.609
anchovy,1274.469,4.537
anchovy,1284.771,0.016
anchovy,1293.293,1.468
anchovy,1303.479,3.661
anchovy,1317.612,2.596
anchovy,1324.091,2.059
anchovy,1333.65,5.318
anchovy,1344.935,6.691
anchovy,1352.551,20.366
anchovy,1362.984,14.588
anchovy,1376.406,10.905
anchovy,1383.217,6.278
anchovy,1393.736,6.509
anchovy,1405.679,1.908
anchovy,1415.346,1.106
anchovy,1426.337,0.469
anchovy,1433.736,2.927
anchovy,1443.257,2.806
anchovy,1456.949,8.243
anchovy,1463.396,22.21
anchovy,1476.136,3.167
anchovy,1485.107,13.194
anchovy,1495.471,8.386
anchovy,1506.067,6.827
anchovy,1517.608,7.189
anchovy,1525.65,3.289
anchovy,1536.099,4.112
anchovy,1545.751,6.884
anchovy,1558.088,4.478
anchovy,1565.349,3.476
anchovy,1575.418,6.441
anchovy,1586.378,2.183
anchovy,1597.122,0.617
anchovy,1605.078,0.246
anchovy,1616.534,2.535
anchovy,1630.644,2.95
anchovy,1638.09,0.424
anchovy,1647.107,3.182
anchovy,1656.859,9.247
anchovy,1668.315,11.5
anchovy,1676.697,11.51
anchovy,1686.767,2.774
anchovy,1698.609,5.341
anchovy,1707.905,2.781
anchovy,1718.834,0.805
anchovy,1725.878,0.584
anchovy,1739.856,0.7
anchovy,1747.805,7.669
anchovy,1757.364,20.984
anchovy,1768.495,11.74
anchovy,1778.858,5.504
anchovy,1790.027,4.758
anchovy,1799.23,4.437
anchovy,1808.147,6.218
anchovy,1819.316,6.436
anchovy,1829.355,8.464
anchovy,1839.324,13.16
anchovy,1850.949,10.629
anchovy,1859.866,10.409
anchovy,1869.17,11.168
anchovy,1879.982,16.123
anchovy,1890.277,17.72
anchovy,1900.494,17.251
anchovy,1910.471,13.449
anchovy,1922.266,10.336
anchovy,1929.999,9.529
anchovy,1941.593,2.107
anchovy,1951.802,4.071
anchovy,1961.656,4.271
anchovy,1970.17,7.449
anchovy,1983.467,0.172
anchovy,1991.114,0.164
sardine,297.231,0.31
sardine,311.333,1.407
sardine,323.47,0.656
sardine,342.711,0.359
sardine,333.067,0.05
sardine,352.975,4.391
sardine,363.486,11.804
sardine,372.867,14.378
sardine,384.407,10.219
sardine,393.881,7.325
sardine,405.994,0.062
sardine,415.066,0.081
sardine,426.931,0.081
sardine,443.263,1.131
sardine,452.079,8.187
sardine,463.495,7.974
sardine,474.68,8.489
sardine,483.79,10.11
sardine,495.129,7.449
sardine,503.573,6.068
sardine,513.767,12.026
sardine,522.01,18.435
sardine,534.402,9.576
sardine,542.862,4.609
sardine,554.085,5.966
sardine,562.824,7.075
sardine,573.923,2.76
sardine,582.847,4.362
sardine,592.847,4.994
sardine,602.801,5.834
sardine,614.009,5.38
sardine,623.8,1.888
sardine,633.761,0.08
sardine,644.427,0.155
sardine,651.006,1.659
sardine,662.059,2.726
sardine,671.277,11.056
sardine,681.185,16.721
sardine,692.33,8.054
sardine,703.236,2.155
sardine,714.134,0.129
sardine,721.967,0.042
sardine,730.381,1.213
sardine,740.396,3.085
sardine,751.07,1.511
sardine,760.281,3.303
sardine,772.038,1.573
sardine,780.087,1.232
sardine,792.263,1.51
sardine,800.119,1.197
sardine,810.978,1.244
sardine,823.378,0.097
sardine,831.768,0.421
sardine,842.759,2.708
sardine,853.726,2.55
sardine,863.812,0.642
sardine,872.457,0.082
sardine,881.18,1.137
sardine,893.069,0.773
sardine,900.863,2.633
sardine,912.241,4.992
sardine,922.04,6.801
sardine,931.429,4.444
sardine,943.581,4.609
sardine,953.016,9.635
sardine,963.558,5.856
sardine,970.439,10.733
sardine,982.939,20.893
sardine,995.13,6.511
sardine,1003.845,2.382
sardine,1011.484,8.743
sardine,1021.361,15.334
sardine,1032.05,12.484
sardine,1044.674,3.293
sardine,1056.571,0.064
sardine,1064.527,0.064
sardine,1072.801,1.498
sardine,1083.398,1.727
sardine,1094.551,0.317
sardine,1105.178,0.022
sardine,1116.812,0.044
sardine,1131.943,2.186
sardine,1141.835,6.272
sardine,1154.25,6.628
sardine,1163.693,3.337
sardine,1174.421,3.48
sardine,1185.536,1.258
sardine,1194.088,0.596
sardine,1202.432,4.77
